,City,Year,AQI,AQI_Category,Lat,Lon
0,Ahmedabad,2015,310.9505703422053,Hazardous,23.0225,72.5714
1,Ahmedabad,2016,310.1623931623932,Hazardous,23.0225,72.5714
2,Ahmedabad,2017,558.768115942029,Hazardous,23.0225,72.5714
3,Ahmedabad,2018,622.2633053221289,Hazardous,23.0225,72.5714
4,Ahmedabad,2019,516.3522727272727,Hazardous,23.0225,72.5714
5,Ahmedabad,2020,242.0681818181818,Severe,23.0225,72.5714
6,Aizawl,2020,34.765765765765764,Good,23.7271,92.7176
7,Amaravati,2017,192.51351351351352,Unhealthy,16.5667,80.3667
8,Amaravati,2018,101.39102564102564,Poor,16.5667,80.3667
9,Amaravati,2019,98.48543689320388,Moderate,16.5667,80.3667
10,Amaravati,2020,59.87978142076503,Moderate,16.5667,80.3667
11,Amritsar,2017,148.06766917293234,Poor,31.634,74.8723
12,Amritsar,2018,122.92592592592592,Poor,31.634,74.8723
13,Amritsar,2019,109.5,Poor,31.634,74.8723
14,Amritsar,2020,92.97701149425288,Moderate,31.634,74.8723
15,Bengaluru,2015,112.57342657342657,Poor,12.9716,77.5946
16,Bengaluru,2016,105.58404558404558,Poor,12.9716,77.5946
17,Bengaluru,2017,87.12087912087912,Moderate,12.9716,77.5946
18,Bengaluru,2018,86.30747922437673,Moderate,12.9716,77.5946
19,Bengaluru,2019,91.6027397260274,Moderate,12.9716,77.5946
20,Bengaluru,2020,79.71584699453553,Moderate,12.9716,77.5946
21,Bhopal,2019,162.6095238095238,Unhealthy,23.2599,77.4126
22,Bhopal,2020,114.7514450867052,Poor,23.2599,77.4126
23,Brajrajnagar,2017,247.6,Severe,21.8167,83.9167
24,Brajrajnagar,2018,154.99615384615385,Unhealthy,21.8167,83.9167
25,Brajrajnagar,2019,148.40062111801242,Poor,21.8167,83.9167
26,Brajrajnagar,2020,137.10743801652893,Poor,21.8167,83.9167
27,Chandigarh,2019,135.54700854700855,Poor,30.7415,76.7681
28,Chandigarh,2020,71.3956043956044,Moderate,30.7415,76.7681
29,Chennai,2015,148.33333333333334,Poor,13.0827,80.2707
30,Chennai,2016,138.56586826347305,Poor,13.0827,80.2707
31,Chennai,2017,104.53739612188366,Poor,13.0827,80.2707
32,Chennai,2018,105.4904109589041,Poor,13.0827,80.2707
33,Chennai,2019,102.94246575342466,Poor,13.0827,80.2707
34,Chennai,2020,80.25136612021858,Moderate,13.0827,80.2707
35,Coimbatore,2019,77.02659574468085,Moderate,11.0046,76.9616
36,Coimbatore,2020,68.19871794871794,Moderate,11.0046,76.9616
37,Delhi,2015,297.02465753424656,Severe,28.6139,77.209
38,Delhi,2016,301.36986301369865,Hazardous,28.6139,77.209
39,Delhi,2017,256.72752808988764,Severe,28.6139,77.209
40,Delhi,2018,249.15890410958903,Severe,28.6139,77.209
41,Delhi,2019,232.1041095890411,Severe,28.6139,77.209
42,Delhi,2020,181.672131147541,Unhealthy,28.6139,77.209
43,Ernakulam,2020,92.359477124183,Moderate,9.98,76.28
44,Gurugram,2016,226.71308016877637,Severe,28.4595,77.0266
45,Gurugram,2017,284.70212765957444,Severe,28.4595,77.0266
46,Gurugram,2018,234.1529411764706,Severe,28.4595,77.0266
47,Gurugram,2019,195.22252747252747,Unhealthy,28.4595,77.0266
48,Gurugram,2020,158.65573770491804,Unhealthy,28.4595,77.0266
49,Guwahati,2019,127.56089743589743,Poor,26.1445,91.7362
50,Guwahati,2020,161.50819672131146,Unhealthy,26.1445,91.7362
51,Hyderabad,2015,143.4191176470588,Poor,17.385,78.4867
52,Hyderabad,2016,124.24035608308606,Poor,17.385,78.4867
53,Hyderabad,2017,112.32960893854748,Poor,17.385,78.4867
54,Hyderabad,2018,97.55616438356165,Moderate,17.385,78.4867
55,Hyderabad,2019,93.98082191780821,Moderate,17.385,78.4867
56,Hyderabad,2020,78.17486338797814,Moderate,17.385,78.4867
57,Jaipur,2017,156.13812154696132,Unhealthy,26.9124,75.7873
58,Jaipur,2018,150.02739726027397,Unhealthy,26.9124,75.7873
59,Jaipur,2019,120.5123287671233,Poor,26.9124,75.7873
60,Jaipur,2020,105.12021857923497,Poor,26.9124,75.7873
61,Jorapokhar,2017,121.18518518518519,Poor,23.5,86.1833
62,Jorapokhar,2018,185.21333333333334,Unhealthy,23.5,86.1833
63,Jorapokhar,2019,157.58745874587459,Unhealthy,23.5,86.1833
64,Jorapokhar,2020,145.3395061728395,Poor,23.5,86.1833
65,Kochi,2020,104.28481012658227,Poor,9.9312,76.2673
66,Kolkata,2018,155.31553398058253,Unhealthy,,
67,Kolkata,2019,143.9095890410959,Poor,,
68,Kolkata,2020,117.29508196721312,Poor,,
69,Lucknow,2015,202.23591549295776,Severe,26.8467,80.9462
70,Lucknow,2016,242.97305389221557,Severe,26.8467,80.9462
71,Lucknow,2017,237.62154696132598,Severe,26.8467,80.9462
72,Lucknow,2018,233.77260273972604,Severe,26.8467,80.9462
73,Lucknow,2019,202.56164383561645,Severe,26.8467,80.9462
74,Lucknow,2020,157.12568306010928,Unhealthy,26.8467,80.9462
75,Mumbai,2018,102.61233480176212,Poor,19.076,72.8777
76,Mumbai,2019,107.95068493150686,Poor,19.076,72.8777
77,Mumbai,2020,103.56830601092896,Poor,19.076,72.8777
78,Patna,2015,350.55555555555554,Hazardous,25.5941,85.1376
79,Patna,2016,252.32628398791542,Severe,25.5941,85.1376
80,Patna,2017,326.36805555555554,Hazardous,25.5941,85.1376
81,Patna,2018,233.6343490304709,Severe,25.5941,85.1376
82,Patna,2019,218.2590529247911,Severe,25.5941,85.1376
83,Patna,2020,162.2513661202186,Unhealthy,25.5941,85.1376
84,Shillong,2019,44.476190476190474,Good,25.5788,91.8933
85,Shillong,2020,57.929577464788736,Moderate,25.5788,91.8933
86,Talcher,2018,185.744769874477,Unhealthy,20.7733,85.1667
87,Talcher,2019,169.02310231023102,Unhealthy,20.7733,85.1667
88,Talcher,2020,160.69230769230768,Unhealthy,20.7733,85.1667
89,Thiruvananthapuram,2017,68.61146496815287,Moderate,8.5241,76.9366
90,Thiruvananthapuram,2018,83.46260387811634,Moderate,8.5241,76.9366
91,Thiruvananthapuram,2019,76.23646723646723,Moderate,8.5241,76.9366
92,Thiruvananthapuram,2020,66.46448087431693,Moderate,8.5241,76.9366
93,Visakhapatnam,2016,103.97604790419162,Poor,17.6868,83.2185
94,Visakhapatnam,2017,143.0943396226415,Poor,17.6868,83.2185
95,Visakhapatnam,2018,122.81901840490798,Poor,17.6868,83.2185
96,Visakhapatnam,2019,123.44281524926686,Poor,17.6868,83.2185
97,Visakhapatnam,2020,84.68539325842697,Moderate,17.6868,83.2185
